DraftYr,Round,Pk,Tm,Player,College,CollegeYrs,Salary,Championships,Career,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2008,2,37,MIL,Luc Mbah a Moute,University of California Los Angeles,3,"$22,672,428.00 ",0,9,621,14388,3895,2605,531,0.452,0.324,0.659,23.2,6.3,4.2,0.9,23.1,0.077,-0.9,4.1
2008,1,13,POR,Brandon Rush,University of Kansas,3,"$14,675,667.00 ",1,9,481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.7,0.7
2008,2,34,MIN,Mario Chalmers,University of Kansas,3,"$21,756,000.00 ",2,8,580,15824,5236,1428,2215,0.421,0.358,0.786,27.3,9,2.5,3.8,31.7,0.096,0.5,10.1
2008,2,40,NJN,Chris Douglas-Roberts,University of Memphis,3,"$1,243,614.00 ",0,6,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.9,-1
2008,1,8,MIL,Joe Alexander,West Virginia University,3,"$5,840,869.00 ",0,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.3,-0.2
2008,2,46,SEA,Trent Plaisted,Brigham Young University Hawaii,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2008,1,17,TOR,Roy Hibbert,Georgetown University,4,"$57,089,669.00 ",0,9,662,16389,6611,4173,885,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,0.2,9.1
2008,2,43,SAC,Patrick Ewing,Georgetown University,4,$0.00 ,0,1,7,19,3,2,2,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.3,0
2008,1,29,DET,D.J. White,Indiana University,4,"$5,370,629.00 ",0,6,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-3.3,-0.7
2008,1,26,SAS,George Hill,Indiana University-Purdue University Indianapolis,4,"$44,482,762.00 ",0,9,599,17357,7039,1924,2003,0.453,0.38,0.802,29,11.8,3.2,3.3,53.9,0.149,2.1,18
2008,1,12,SAC,Jason Thompson,Rider University,4,"$26,285,471.00 ",0,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-1.7,1.3
2008,2,50,SEA,DeVon Hardin,University of California,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2008,2,52,MIA,Darnell Jackson,University of Kansas,4,"$1,186,420.00 ",0,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-4.9,-0.7
2008,2,56,SEA,Sasha Kaun,University of Kansas,4,"$2,609,240.00 ",1,1,25,95,23,26,3,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-0.8,0
2008,2,58,LAL,Joe Crawford,University of Kentucky,4,"$2,209,260.00 ",0,1,2,23,9,4,1,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-5.6,0
2008,2,57,SAS,James Gist,University of Maryland,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2008,2,33,POR,Joey Dorsey,University of Memphis,4,"$1,879,572.00 ",0,4,130,1488,344,513,55,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-1.3,0.3
2008,2,30,BOS,J.R. Giddens,University of New Mexico,4,"$1,986,000.00 ",0,2,38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.6,-0.2
2008,2,48,PHO,Malik Hairston,University of Oregon,4,"$1,889,886.00 ",0,2,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-1.9,0
2008,2,54,HOU,Maarty Leunen,University of Oregon,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2008,2,42,SAC,Sean Singletary,University of Virginia,4,"$442,114.00 ",0,1,37,303,90,35,29,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-4.9,-0.2
2008,2,51,DAL,Shan Foster,Vanderbilt University,4,$0.00 ,0,0,,,,,,,,,,,,,,,,
2008,2,59,DET,Deron Washington,Virginia Polytechnic Institute and State University,4,"$1,372,764.00 ",0,0,,,,,,,,,,,,,,,,
2008,2,38,CHA,Kyle Weaver,Washington State University,4,"$3,386,198.00 ",0,3,73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.3,0.3
2008,1,22,ORL,Courtney Lee,Western Kentucky University,4,"$33,610,413.00 ",0,9,677,18855,6609,1817,1124,0.451,0.386,0.848,27.9,9.8,2.7,1.7,34.3,0.087,-0.2,8.7
2009,1,10,MIL,Brandon Jennings,,0,"$39,172,853.00 ",0,8,541,16639,7728,1628,3107,0.388,0.346,0.795,30.8,14.3,3,5.7,29.8,0.086,0.5,10.5
2009,1,24,DAL,Byron Mullens,Ohio State University,1,"$4,560,507.00 ",0,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.6,-2.3
2009,1,17,PHI,Jrue Holiday,University of California Los Angeles,1,"$49,991,908.00 ",0,8,504,16257,7191,1800,3147,0.441,0.366,0.788,32.3,14.3,3.6,6.2,26.6,0.078,0.9,12
